Volume,WVolPrice,Open,High,Low,Close,Timestamp,Transactions
74745,177.5276,177.68,177.78,177.974,177.05,1591185600000,384
31430,177.7595,177.8,177.728,177.8,177.68,1591186500000,181
64420,177.3003,177.604,177.0896,177.606,177,1591187400000,374
49350,177.2799,177.09,177.2001,177.5879,177.09,1591188300000,323
23520,177.3635,177.28,177.36,177.4116,177.28,1591189200000,259
44735,177.5647,177.6,177.536,177.688,177.414,1591190100000,456
4439960,177.2324,177.624,178.158,178.4,176.0479,1591191000000,18678
4187285,178.8023,178.148,179.4567,179.588,177.67,1591191900000,16411
2562445,178.5685,179.5083,178.1022,179.586,177.6,1591192800000,11434
2113745,178.5726,178.089,178.6244,179.12,177.706,1591193700000,8700
1503365,178.1909,178.6,177.924,178.741,177.646,1591194600000,6594
1509935,178.1836,178.052,177.902,178.8,177.66,1591195500000,6019
1045450,178.0377,177.876,178.252,178.334,177.65,1591196400000,4886
1729355,178.5378,178.28,178.5704,179,177.968,1591197300000,6893
1107805,178.1445,178.5758,177.984,178.656,177.7,1591198200000,5090
1189700,177.7837,177.9626,177.94,178.178,177.456,1591199100000,5643
1396935,177.2404,177.888,177.258,177.9565,176.84,1591200000000,6620
1223940,176.8545,177.276,177.12,177.3562,176.546,1591200900000,5372
1346530,177.4477,177.1242,177.7646,177.84,177,1591201800000,5180
724445,177.5113,177.7547,177.508,177.7547,177.28,1591202700000,2932
661340,177.2655,177.506,177.096,177.69,176.9034,1591203600000,3161
692770,177.0775,177.1059,176.82,177.298,176.7869,1591204500000,3046
672960,176.8646,176.902,177.0834,177.114,176.6,1591205400000,3390
877560,177.2102,177.0765,177.375,177.464,176.8254,1591206300000,3269
1051775,177.2768,177.405,176.896,177.6,176.776,1591207200000,3766
994985,176.8263,176.8474,176.8224,177.078,176.6,1591208100000,3820
1120080,176.5467,176.842,176.45,176.872,176.26,1591209000000,5439
1349160,176.5377,176.4068,176.9205,177.098,176.02,1591209900000,6237
1102595,176.9373,176.946,176.809,177.216,176.56,1591210800000,4401
746190,176.7932,176.8386,176.816,177,176.508,1591211700000,3467
1036080,177.1056,176.844,177.136,177.28,176.8,1591212600000,4563
2019740,176.6448,177.142,176.502,177.296,176.055,1591213500000,8955
97685,176.5211,176.592,176.492,176.596,176.16,1591214400000,400
9825,176.5386,176.464,176.472,176.664,176.464,1591215300000,100
111265,176.5983,176.5,176.6,176.76,176.46,1591216200000,682
15060,176.8413,176.76,176.852,177,176.7,1591217100000,106
5015,176.8345,176.9,176.8,176.9,176.8,1591218900000,51
8325,176.6279,176.7,176.6,176.7,176.6,1591219800000,80
3570,176.6154,176.6,176.69,176.69,176.6,1591220700000,35
6650,176.6091,176.66,176.6,176.66,176.6,1591221600000,31
15595,176.6012,176.46,176.61,176.8,176.46,1591222500000,89
6835,176.6891,176.52,176.81,176.81,176.52,1591223400000,37
18360,176.6941,176.808,176.6,176.9,176.6,1591224300000,53
15965,176.5048,176.76,176.69,176.76,176.3,1591225200000,81
710,176.6164,176.608,176.608,176.608,176.608,1591226100000,6
4515,176.7487,176.754,176.76,176.76,176.754,1591227000000,16
16685,176.6386,176.676,176.624,176.676,176.6,1591227900000,99
835,177.1223,177.154,177.154,177.154,177.154,1591257600000,13
3390,176.6957,176.944,176.6,176.944,176.6,1591259400000,36
3130,176.81,176.8,176.8,176.8,176.8,1591262100000,12
4605,176.8587,177,176.654,177,176.654,1591266600000,19
11745,176.7907,176.936,176.74,176.936,176.68,1591268400000,56
7325,176.8669,176.802,176.95,176.95,176.802,1591269300000,30
3175,177.0378,177,177.08,177.08,177,1591270200000,17
25110,177.22,177.074,177.168,177.474,177.074,1591271100000,139
62945,177.0344,176.7,177.14,177.474,176.68,1591272000000,345
34165,177.2608,177.186,177.36,177.4,177.02,1591272900000,231
59015,177.1761,177.4,176.844,177.4,176.83,1591273800000,385
17825,176.9488,176.8301,177.03,177.03,176.8028,1591274700000,81
29140,177.1734,177.0203,177.2,177.3063,177.0203,1591275600000,329
